Instancia,Otimo,Melhor_objetivo,Media_objetivo,Desvio_padrao_objetivo,Melhor_tempo,Media_tempo,Desvio_padrao_tempo,Gap_min,Gap_medio
A-n33-k6,742.0,743.0,743.2,0.4472135954999579,34190.0,39864.4,3840.784203779223,0.0013477088948787063,0.0016172506738545086
A-n63-k10,1314.0,1335.0,1354.2,18.102486017119304,199107.0,222768.0,31950.294998638117,0.01598173515981735,0.030593607305936108
A-n37-k6,949.0,950.0,958.6,7.635443667528429,85673.0,148079.0,73539.02882143603,0.001053740779768177,0.010115911485774523
B-n66-k9,1316.0,1346.0,1360.8,11.861703081766969,271437.0,292540.4,12318.598491711628,0.022796352583586626,0.03404255319148933
B-n31-k5,672.0,684.0,685.6,3.0495901363953815,35136.0,48278.6,9859.483470243256,0.017857142857142856,0.02023809523809527
B-n67-k10,1032.0,1071.0,1093.6,22.13142562059661,207155.0,269513.4,35756.93415688767,0.0377906976744186,0.059689922480620064
A-n37-k5,669.0,678.0,683.4,4.774934554525329,67697.0,79435.6,11402.572332592326,0.013452914798206279,0.02152466367713001
B-n52-k7,747.0,748.0,759.4,20.54993917265937,143901.0,227896.2,63490.064480200366,0.0013386880856760374,0.016599732262382833
B-n51-k7,1032.0,1030.0,1045.2,28.48157299026864,63342.0,127225.0,96037.14096379587,-0.001937984496124031,0.01279069767441865
B-n63-k10,1496.0,1579.0,1602.6,24.2755020545405,273573.0,287902.0,10973.92828480303,0.05548128342245989,0.07125668449197854
A-n63-k9,1616.0,1645.0,1689.6,37.52066097498816,237080.0,257285.6,26016.661474908728,0.017945544554455444,0.04554455445544549
